,Course Department,Course Code,Course Title,Pillar,Prof,Description
10,CHE,1148H,Process Data Analytics,None,,"This course will begin with an elementary introduction to statistics and probability, and then go on to develop various regression, classification, clustering, dimensionality reduction and advanced machine learning algorithms that are of interest to analyze and extract information from process data. Such supervised and unsupervised techniques are of great use in process industries that are awash with large amounts of data, that is gravely underutilized. Much of process data is in heterogeneous form as sensor data, alarm and event data, image data and process connectivity or topology data. These methods are labelled broadly as BIG data. However, big data needs efficient and informative analytical skills in machine learning, engineering insights, pattern recognition and more, all of which will be the main focus of this course. Here is shorter outline to indicate the main contents and objectives of this course."
11,CHE,1434H,Six Sigma for Chemical Processes,descriptive,,Six Sigma is a proven process improvement methodology currently being employed across nearly every type of business and industry including numerous Chemical Process Industry companies. Design for Six Sigma (DfSS) has been developed more recently with the goal to apply the Six Sigma principles to the design of new products and processes. This course will also provide a working know-how of the Six Sigma problem solving and process improvement protocol (DMAIC). It is based on the lecturer’s own experience as a double Black Belt in Lean Six Sigma and Design for Lean Six Sigma at Xerox Research Centre of Canada. This course will include examples and case studies in order to show the students the practical value of Six Sigma in the chemical and related industries. The students will use themselves Six Sigma and Design for Six Sigma process and statistical tools to solve problems and explore designing new chemical process in workshops that will be part of each class.
12,CIV,1504H,Applied Probability and Statistics for Civil Engineering,descriptive,Khandker Nurul Habib,A lecture and tutorial course designed to build on the prerequisite introduction to probability in the form of applied probability and statistics with emphasis on techniques appropriate for investigating the random behaviour of complex civil engineering systems. Topics include: a review of probability theory; extreme value distributions; engineering reliability; conditional distributions; applications of common probability models; parameter estimation and confidence intervals; significance testing; elementary Bayesian analysis; simple stochastic processes.
13,CIV,1506H,Freight Transportation and ITS Applications,prescriptive,Matthew Roorda,"Efficient movement of freight is crucial for national economic viability. This course introduces the structure of the freight industry and relates it to business logistics and planning of supply chains. Planning of freight services at the strategic, tactical, and operational levels is presented and models of international, inter-city, and urban freight movements are introduced. Shipper behavior related to mode choice, carrier selection, adoption of 3-PL and information technology options is considered. The course also introduces the role of advanced technologies (ITS) in improving freight operations, and the implications of e-commerce on planning of freight services. The course concludes by providing an overview of policy issues, data sources and needs, and the particularities of the Canadian freight transportation context."
14,CIV,1507H,Public Transport,descriptive,,
15,CIV,1532H,Fundamentals of ITS and Traffic Management,descriptive,Baher Abdulhai,"This course focuses on Intelligent Transportation Systems (ITS) with emphasis on Advanced Traffic Control and Management Systems (ATMS) and applications of Artificial Intelligence (AI) in ATMS. Topics include:

Overview and Introduction to ITS

Traffic Flow Modeling for ITS: Macroscopic, Microscopic and Mesoscopic

Transportation Networks Modeling and Traffic Assignment

Genetic Algorithms (GA) for Optimization (Artificial Intelligence Part I)

Applications of GA: Emergency Evacuation Optimization, Origin-Destination Estimation, Dynamic Congestion Pricing

Artificial Neural Networks (Artificial Intelligence Part II)

Applications of NN: Automated Incident Detection (AID), Short-Term Traffic Flow Forecasting,

Traffic Control and Optimization Theoretical Primer

Reinforcement Learning (Artificial Intelligence Part III)

Introduction to Deep Learning (Deep NN + RL)

Freeway Traffic Control and Optimization

Street Traffic Control and Optimization

Other Research Topics (time permitting), e.g. Modelling and Exploiting Vehicle Automation and Connectivity for 21s Century Traffic Control.
"
16,CIV,1538H,Transportation Demand Analysis,descriptive,Khandker Nurul Habib,"This course deals with the quantitative analysis and modeling of transportation demand for planning purposes. The course principally deals with urban passenger demand, but an introduction to freight and intercity travel demand is also provided. A theoretical framework for the study of transportation demand is developed from basic micro-economic principles of consumer behaviour. The primary modeling approaches considered are: disaggregate choice models; entropy-based models, and an introduction to the activity-based approach to travel demand modeling. An understanding of the theory of the demand for transportation is coupled with practical experience in the specification, estimation, and use of transportation demand models."
17,CEM,1002H,Empirical Study of Cities,descriptive,Mark Fox,"This course provides students with an introduction to the topic of cities, how they are measured, and the methods used to measure them. The strengths and limitations of various measures are examined including issues related the cost of collecting data and the challenges in ensuring its integrity. After reviewing the most commonly used statistical analysis methods, student will calculate and use metrics to compare cities in Canada, North America, and around the world. Metrics of interest include, but are not limited to, those related to city services, public health and well-being, environmental sustainability, and economic vitality."
18,ECE,537H,Random Processes,descriptive,A. Leon-Garcia,"Introduction to the principles and properties of random processes, with applications to communications, control systems, and computer science. Topics include random vectors, random convergence, random processes, specifying random processes, Poisson and Gaussian processes, stationarity, mean square derivatives and integrals, ergodicity, power spectrum, linear systems with stochastic input, mean square estimation, Markov chains, recurrence, absorption, limiting and steady-state distributions, time reversibility, and balance equations."
19,ECE,1504H,Statistical Learning,None,A. Khisti,"This course will provide a mathematical introduction to the principles of statistical learning. We will cover the theory of generalization including PAC learning, VC dimension  and the Bias/Variance decomposition. A number of learning algorithms/techniques for regression, classification and unsupervised learning will be studied from a  mathematical point of view. The course is intended for students doing research in mathematically rigorous disciplines and having a certain level of mathematical maturity. Students primarily interested in learning about machine learning will find ECE1513 more suitable."
20,ECE,1505H,Convex Optimization,prescriptive,F. Sohrabi,"This course provides a comprehensive coverage of the theoretical foundation and numerical algorithms for convex optimization with engineering applications. Topics include: convex sets and convex functions; convex optimization problems; least-square problems; optimal control problems; Lagrangian duality theory. Karush-Kuhn-Tucker (KKT) theorem; Slater’s condition; generalized inequalities; minimiax optimization and saddle point; introduction to linear programming, quadratic programming, semidefinite programming and geometric programming; numerical algorithms: descent methods, Newton’s method, interior-point method; convex relaxation; applications to communications and signal processing."
21,ECE,1510H,Advanced Inference Algorithms,predictive,Professor B. Frey,"Advanced concepts in machine learning and probabilistic inference. An introductory course on inference algorithms or machine learning should be taken prior to this course. Topics covered: Probability models, neural networks, graphical models, Bayesian networks, factor graphs, Markov random fields (MRFs). Structured models, convolutional networks, transformations as hidden variables, bivariate and trivariate potentials, high-order potentials. Exact probabilistic inference, variable elimination, sum-product and max-product algorithms, factorizing high-order potentials. Approximate probabilistic inference, iterated conditional modes, gradient-based inference, loopy belief propagation, variational techniques, expectation propagation, sampling methods (MCMC). Learning in directed and undirected models, EM, sampling, contrastive divergence. Deep belief networks. Applications to image processing, scene analysis, pattern recognition, speech recognition, computational biology."
22,ECE,1657H,Game Theory and Evolutionary Games,prescriptive,L. Pavel,"This course presents a mathematical treatment of classical and evolutionary game theory. Topics covered in classical game theory: matrix games, continuous games, Nash equilibrium (NE) solution, existence and uniqueness, Pareto optimal solution. Topics covered in evolutionary games: evolutionary stable strategy (ESS) concept, NE versus ESS, replicator dynamics (population dynamics), adaptation (strategy) dynamics, stability concepts and relation to dynamic asymptotic stability. The two areas will be connected by learning in games via imitation dynamics, fictitious play and their relation to replicator dynamics. Engineering applications to communication networks, multi-agent learning, network formation will be discussed."
23,ECE,1778H,Creative Applications for Mobile Devices,descriptive,J.S. Rose,"Mobile and wearable devices have had a dramatic impact on a vast array of new areas including psychology, medicine, global health, music, banking, cooking, exploring, travel, shopping, and games. Many more things are possible, and so the purpose of this course is to encourage creativity in the creation of new applications of mobile, wearable devices, often together with online servers in an inter-disciplinary environment. The course is open to all graduate students at the University of Toronto, and is primarily a project-based course in which the goal is to produce a working app by the end of course. Projects will be done in groups of three: two students with programming skills are matched with one from a non-programming (a ‘specialist’) background. The project subject area must in the specialist’s field. Some of the projects are also driven by external (non-student) specialists recruited to participate in the course.
There will be three kinds of lectures:
1. On the capabilities of modern mobile devices at both a technical and lay level for non-specialists.
2. Case studies of innovative applications, linking to methods of innovating.
3. Project Proposals and Presentations
Grading will be on a four basic assignments (programming mobile devices for the programmers, and explorations of mobile ideas and case studies for the non-programmers) project proposals, interim presentations, and final project report and presentation. The course will support the use Google Android-based phones and Apple iOS-based phones only.

This course is a mixture of technical work, creativity in the medium of software mobile applications, communication and inter-disciplinary interaction.

"
24,ECE,1779H,Introduction to Cloud Computing,descriptive,,"This course provides an introduction into the technologies behind cloud computing. A combination of lectures and hands-on programming assignments expose the student to the leading cloud computing paradigms and programming interfaces (e.g., EC2, Azure, App Engine). In addition, lectures provide an overview of the underlying technological concepts that make cloud computing possible (e.g., virtualization, scalability, fault tolerance, security).
Previous programming experience is a prerequisite for this course."
25,MIE,562H,Scheduling,prescriptive,C. Beck,"This course takes a practical approach to scheduling problems and solution techniques, motivating the different mathematical definitions of scheduling with real world scheduling systems and problems. Topics covered include: job shop scheduling, timetabling, project scheduling, and the variety of solution approaches including constraint programming, local search, heuristics, and dispatch rules. Also covered will be information engineering aspects of building scheduling systems for real world problems."
26,MIE,1413H,Statistical Models in Empirical Research,descriptive,B. Donmez,"This course covers statistical models frequently used in empirical research. For various observational and experimental data, students will be proficient in generating relevant hypotheses to answer research questions, selecting and building appropriate statistical models, and effectively communicating these results through interpretation and presentation of results. By the end of the course, students will be able to: 1. Formulate and apply hypothesis testing; 2. Conduct both parametric and nonparametric statistical analyses including linear regression, ANOVA, mixed linear models, and generalized linear models (cluster analysis and time series models will be covered at an introductory level); 3. Address assumptions and limitations of statistical models; 4. Assess whether or not the results statistically support the original research question; 5. Assess the validity of the use of various statistical tests in the literature (journal articles and conference papers) 6. Communicate interpretation of statistical results, both written and orally. 7. Become familiar with one or more statistical software packages"
27,MIE,1501H,Knowledge Modelling and Management,descriptive,M. Fox,N/A
28,MIE,1512H,Data Analytics,descriptive,M. Consens,
29,MIE,1513H,Decision Support Systems,descriptive,S. Sanner,
30,MIE,1620H,Linear Programming and Network Flows,prescriptive,R. Kwon,"Rigorous introduction to the theory of linear programming. Simplex method, revised simplex method, duality, dual simplex method. Post-optimality analysis. Interior point methods. Decomposition methods. Network flow algorithms. Maximum flow, shortest path, assignment, min cost flow problems."
31,MIE,1621H,NonLinear Optimization,prescriptive,R. Kwon,"Theory and computational methods of non-linear optimization. Convex sets, convex and concave functions. Unconstrained and Constrained Optimization. Quadratic Programming. Optimality conditions and convergence results. Karush-Kuhn-Tucker conditions. Introduction to penalty and barrier methods. Duality in nonlinear programming."
32,MIE,1622H,Computational Finance and Risk Management,predictive,O. Romanko,"The objective of the course is to examine the construction of computational algorithms in solving financial problems, such as risk-aware decision-making, asset pricing, portfolio optimization and hedging. Considerable attention is devoted to the application of computational and programming techniques to financial, investment and risk management problems. Materials in this course are quantitative and computational in nature as well as analytical. Topics include mean-variance portfolio optimization, simulation (Monte Carlo) methods, scenario-based risk optimization, hedging, uncertainty modeling, asset pricing, simulating stochastic processes, and numerical solutions of differential equations. Matlab is the primary computational and modeling software used in this course, we also briefly describe other programming environments such as R, Python and C/C++ used in financial engineering. Practical aspects of financial and risk modeling, which are used by industry practitioners, are emphasized."
33,MIE,1623H,Introduction to Healthcare Engineering,predictive,D. Aleman and M. Carter,"This course illustrates the use of industrial engineering techniques in the field of healthcare. Common strategic, tactical, and operational decision-making problems arising in healthcare will be approached from an operations research perspective. Unique aspects of healthcare compared to other industries will be discussed. Real-world datasets will be provided to illustrate the complexity of applying standard operations research methods to healthcare."
34,MIE,1628H,Big Data Science,None,Y. Shevchenko,"This course is designed to provide students with fundamental understanding of Big Data and help develop skills necessary to handle and implement various aspects of big data projects. The course has an additional focus on Machine Leaning & Data Science developed to advance data science skills that are often required to implement big data projects. Students, while taking the course, will have a unique exposure to both data science and big data technologies that will provide them with skills necessary to implement data science projects in Hadoop as well as support teams executing big data projects. Three areas of focus for the proposed course: ? Hadoop Architecture ? Big data programming ? Machine Learning in Big Data environment: o SQL to manipulate data o Feature preparation & Feature engineering o Machine Learning methods"
35,MIE,1653H,Integer Programming Applications,prescriptive,M. Bodur,"Formulation of integer programming problems and the characterization of optimization problems representable as integer and mixed-integer programs. The degree of difficulty of classes of integer programs and its relation to the structure of their feasible sets. Optimality conditions. Branchand-bound, cutting plane, and decomposition methods for obtaining solutions or approximating solutions."
36,MIE,1721H,Reliability,predictive,D. Banjevic,"Tentative list of topics that will be covered from the Bentley’s book is given below. Additional
topics and extensions will be considered. All exercises are recommended, except ones not covered.
A moderate knowledge of probability and statistics is assumed as a requirement.
1. Principles of quality: 1.1, 1.2, 1.4 - self study
2. Principles of reliability: All.
3. Reliability of systems: All.
4. Failure rate data and models: 4.1-4.5, (4.6, 4.7 optional).
5. Quality and reliability in design and manufacture: some sections will be covered, such as
5.5-5.7, depending on timing.
6. Reliability and availability in maintenance: all.
7. Protective systems for hazardous process: general principles will be covered, details will
depend on timing"
37,MIE,1723H,Engineering Asset Management,predictive,A. Jardine,"his course is concerned with the determination of optimal maintenance and replacement practices for components and capital equipment; resources of manpower and machinery required for implementation of maintenance practices; and the use of mathematical modelsin the development of a maintenance information system. The lectures will be supplemented by case study assignments including short-term deterministic replacement;short-term probabilistic replacement; use of OREST, PERDEC, AGE/CON, EXAKT and SMS software for the optimization of physical asset management decisions."
38,MIE,1727H,Statistical Methods of Quality Assurance,descriptive,V. Makis,"Awareness of the importance of quality has increased dramatically. Understanding and improving quality is a key factor leading to company’s success and its enhanced competitive position. The course focuses on the following topics in Quality Assurance: Introduction to quality engineering, TQM, costs of quality, quality and productivity, statistical process control, process capability analysis and supplier-producer relations, quality standards and certification, six sigma philosophy and methodology, quality/process improvement using designed experiments, and an overview of acceptance sampling"
